time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
1.311628124967680e-002	3.980665e+000	-1.659889e+000	8.299447e-001	1.200000e+001	8.019335e+000
1.321393749967680e-002	3.986171e+000	-1.693332e+000	8.466660e-001	1.200000e+001	8.013829e+000
1.331159374967680e-002	3.991414e+000	-1.725181e+000	8.625904e-001	1.200000e+001	8.008586e+000
1.340924999967680e-002	3.996389e+000	-1.755406e+000	8.777030e-001	1.200000e+001	8.003611e+000
1.350690624967680e-002	4.001093e+000	-1.783979e+000	8.919894e-001	1.200000e+001	7.998907e+000
1.360456249967680e-002	4.005521e+000	-1.810873e+000	9.054364e-001	1.200000e+001	7.994479e+000
1.370221874967680e-002	4.009668e+000	-1.836062e+000	9.180312e-001	1.200000e+001	7.990332e+000
1.379987499967680e-002	4.013530e+000	-1.859524e+000	9.297620e-001	1.200000e+001	7.986470e+000
1.389753124967680e-002	4.017104e+000	-1.881235e+000	9.406177e-001	1.200000e+001	7.982896e+000
1.409284374967680e-002	4.023376e+000	-1.919328e+000	9.596640e-001	1.200000e+001	7.976624e+000
1.428815624967680e-002	4.028458e+000	-1.950197e+000	9.750983e-001	1.200000e+001	7.971542e+000
1.448346874967680e-002	4.032331e+000	-1.973725e+000	9.868626e-001	1.200000e+001	7.967669e+000
1.467878124967680e-002	4.034981e+000	-1.989825e+000	9.949125e-001	1.200000e+001	7.965019e+000
1.487409374967679e-002	4.036399e+000	-1.998436e+000	9.992178e-001	1.200000e+001	7.963601e+000
1.506940624967679e-002	4.036578e+000	-1.999525e+000	9.997623e-001	1.200000e+001	7.963422e+000
1.526471874967679e-002	4.035519e+000	-1.993088e+000	9.965439e-001	1.200000e+001	7.964481e+000
1.546003124967679e-002	4.033224e+000	-1.979149e+000	9.895747e-001	1.200000e+001	7.966776e+000
1.565534374967679e-002	4.029703e+000	-1.957762e+000	9.788810e-001	1.200000e+001	7.970297e+000
1.585065624967679e-002	4.024969e+000	-1.929006e+000	9.645030e-001	1.200000e+001	7.975031e+000
1.604596874967680e-002	4.019040e+000	-1.892990e+000	9.464948e-001	1.200000e+001	7.980960e+000
1.614362499967680e-002	4.015634e+000	-1.872300e+000	9.361501e-001	1.200000e+001	7.984366e+000
1.624128124967680e-002	4.011937e+000	-1.849849e+000	9.249243e-001	1.200000e+001	7.988063e+000
1.633893749967680e-002	4.007955e+000	-1.825656e+000	9.128280e-001	1.200000e+001	7.992045e+000
1.643659374967680e-002	4.003689e+000	-1.799745e+000	8.998725e-001	1.200000e+001	7.996311e+000
1.653424999967680e-002	3.999145e+000	-1.772140e+000	8.860701e-001	1.200000e+001	8.000855e+000
1.663190624967681e-002	3.994326e+000	-1.742868e+000	8.714338e-001	1.200000e+001	8.005674e+000
1.672956249967681e-002	3.989237e+000	-1.711955e+000	8.559774e-001	1.200000e+001	8.010763e+000
1.682721874967681e-002	3.983882e+000	-1.679430e+000	8.397152e-001	1.200000e+001	8.016118e+000
1.692487499967681e-002	3.978268e+000	-1.645326e+000	8.226628e-001	1.200000e+001	8.021732e+000
1.702253124967681e-002	3.972399e+000	-1.609672e+000	8.048362e-001	1.200000e+001	8.027601e+000
1.712018749967681e-002	3.966279e+000	-1.572504e+000	7.862520e-001	1.200000e+001	8.033721e+000
1.721784374967681e-002	3.959917e+000	-1.533856e+000	7.669279e-001	1.200000e+001	8.040083e+000
1.731549999967682e-002	3.953317e+000	-1.493764e+000	7.468820e-001	1.200000e+001	8.046683e+000
1.741315624967682e-002	3.946486e+000	-1.452266e+000	7.261330e-001	1.200000e+001	8.053514e+000
1.751081249967682e-002	3.939429e+000	-1.409402e+000	7.047008e-001	1.200000e+001	8.060571e+000
1.760846874967682e-002	3.932154e+000	-1.365211e+000	6.826053e-001	1.200000e+001	8.067846e+000
1.770612499967682e-002	3.924667e+000	-1.319735e+000	6.598673e-001	1.200000e+001	8.075333e+000
1.790143749967682e-002	3.909089e+000	-1.225100e+000	6.125501e-001	1.200000e+001	8.090911e+000
1.809674999967683e-002	3.892752e+000	-1.125855e+000	5.629275e-001	1.200000e+001	8.107248e+000
1.838971874967683e-002	3.866959e+000	-9.691632e-001	4.845816e-001	1.200000e+001	8.133041e+000
1.855712946396255e-002	3.851487e+000	-8.751705e-001	4.375853e-001	1.200000e+001	8.148514e+000
1.872454017824827e-002	3.835727e+000	-7.794338e-001	3.897169e-001	1.200000e+001	8.164273e+000
1.889195089253398e-002	3.819681e+000	-6.819529e-001	3.409765e-001	1.200000e+001	8.180320e+000
1.905936160681970e-002	3.803346e+000	-5.827280e-001	2.913640e-001	1.200000e+001	8.196654e+000
1.922677232110541e-002	3.786724e+000	-4.817590e-001	2.408795e-001	1.200000e+001	8.213275e+000
1.939418303539113e-002	3.769814e+000	-3.790459e-001	1.895229e-001	1.200000e+001	8.230184e+000
1.956159374967685e-002	3.752617e+000	-2.745887e-001	1.372944e-001	1.200000e+001	8.247379e+000
1.965924999967685e-002	3.742318e+000	-2.136909e-001	1.068454e-001	1.199986e+001	8.257541e+000
1.975690624967685e-002	3.722747e+000	-1.525919e-001	7.629594e-002	1.199510e+001	8.272349e+000
1.985456249967685e-002	3.427012e+000	-9.134928e-002	4.567464e-002	1.185209e+001	8.425079e+000
1.995221874967685e-002	1.554327e+000	-3.002072e-002	1.501036e-002	1.091854e+001	9.364208e+000
2.004987499967685e-002	-1.614194e+000	3.133610e-002	-1.566805e-002	9.331682e+000	1.094588e+001
2.014753124967686e-002	-3.460866e+000	9.266344e-002	-4.633172e-002	8.400442e+000	1.186131e+001
2.024518749967686e-002	-3.748929e+000	1.539036e-001	-7.695178e-002	8.246505e+000	1.199543e+001
2.034284374967686e-002	-3.777920e+000	2.149988e-001	-1.074994e-001	8.221948e+000	1.199987e+001
2.044049999967686e-002	-3.798244e+000	2.758918e-001	-1.379459e-001	8.201752e+000	1.200000e+001
2.055210714253401e-002	-3.821122e+000	3.453712e-001	-1.726856e-001	8.178876e+000	1.200000e+001
2.066371428539115e-002	-3.843790e+000	4.142169e-001	-2.071084e-001	8.156209e+000	1.200000e+001
2.077532142824829e-002	-3.866249e+000	4.824287e-001	-2.412144e-001	8.133750e+000	1.200000e+001
2.088692857110544e-002	-3.888499e+000	5.500068e-001	-2.750034e-001	8.111501e+000	1.200000e+001
2.099853571396258e-002	-3.910540e+000	6.169510e-001	-3.084755e-001	8.089461e+000	1.200000e+001
